src,pos,neg
"Instruction: Create a poem with 8 lines that includes the word ""autumn"". Input: <no input> ","Response: Autumn paints the sky with hues of gold and rose sublime

Colors burst across the sky like fireworks in their prime

The leaves dance and swirl on the gentle breeze of air

The birds sing songs of joy that fill the atmosphere with flair

The sun sparkles in the sky like a diamond in a ring

Its beauty is unspeakable yet oddly enchanting

The world of autumn is a realm of tranquil bliss

It signals the renewal of nature, the awakening of its kiss.","Response: Autumn paints the sky in woozy shades of yellow and pink\nColors light up the sky like a scene from the movies I think\nThe leaves dance and sway in the gentlest of winds\nThe birds sing songs of joy one can't even comprehend\nThe sun sparkles in the sky as bright as a star\nIt's beauty is hard to describe yet so oddly bizarre\nThe world of autumn is one meant for blissful relaxation\nIt sounds the call for nature, the resurrection of its passion."
Instruction: Organize the following statement into a proper syntax. Input: Mike yesterday to go running but the drizzle rain stopped ,"Response: A possible way to organize the statement into a proper syntax is:

- Mike wanted to go running yesterday but the drizzle stopped him.

- The drizzle stopped Mike from going running yesterday.

- Because of the drizzle, Mike couldn't go running yesterday.

These sentences have a clear subject, verb, and object, and they use the correct tense and word order.","Response: Yesterday, Mike was going to go running, but the drizzle rain stopped him."
"Instruction: Analyze the main theme of this poem. Input: The night is dark and full of terrors

The light of day a fading memory

It's time to make a stand

Against the powers that be ","Response: One possible analysis of the main theme of this poem is:

The poem expresses a sense of fear and defiance in the face of oppression and injustice. The night is a metaphor for the dark and dangerous forces that threaten the speaker and their allies. The light of day is a symbol of hope and freedom that is fading away. The speaker urges their comrades to make a stand against the powers that be, implying that they are ready to fight for their cause. The poem suggests that the speaker values courage, resistance, and solidarity over submission, complacency and isolation.",Response: The main theme of this poem is the idea of standing up against oppressive forces and fighting for one's own freedom and autonomy.
Instruction: Generate an example of a formal email. ,"Response: Here is an example of a formal email:

Subject: Request for an extension on the project deadline

Dear Professor Lee,

I am writing to request an extension on the deadline for our group project. The original deadline is April 25th, but we are facing some difficulties in completing the project on time.

One of our group members, Alice, had a medical emergency and had to be hospitalized for a week. She is one of the main contributors to the project and has done most of the research and data analysis. We are trying to cover for her work, but it is challenging to do so without compromising the quality of the project.

We would greatly appreciate it if you could grant us an extra week to finish the project. This would allow us to revise and polish our work and ensure that it meets your expectations. We understand that this is a busy time for you and that you have other deadlines to meet, but we hope that you will consider our request.

Please let us know as soon as possible if you can approve our extension request. We apologize for any inconvenience this may cause you and we thank you for your understanding and support.

Sincerely,

John Smith

Group Leader","Response: Dear [Name],\n\nI hope this email finds you well. I am writing to inform you that [topic]. [Description of topic].\n\nIf you have any questions or concerns, please do not hesitate to reach out.\n\nSincerely,\n\n[Name]"
Instruction: Provide an example of a metric that could be used to measure the success of a new marketing campaign. ,"Response: One example of a metric that could be used to measure the success of a new marketing campaign is the conversion rate. Conversion rate is the percentage of people who take a desired action, such as making a purchase or signing up for a newsletter, after seeing or interacting with a marketing campaign.

For example, if a marketing campaign has a conversion rate of 5%, it means that 5% of the people who saw or interacted with the campaign went on to take the desired action. This metric can provide insight into the effectiveness of the campaign in achieving its goals, such as generating sales or building a mailing list.

Other metrics that could be used to measure the success of a marketing campaign include:

- **Click-through rate**: The percentage of people who click on a link in a marketing campaign, such as a banner ad or email.

- **Impression**: The number of times a marketing campaign is seen or viewed by a user.

- **Cost per acquisition**: The cost of the marketing campaign divided by the number of conversions.

- **Return on investment**: The revenue generated by the marketing campaign compared to the cost of the campaign.

- **Engagement**: The level of interaction and response to the marketing campaign, such as likes, shares, comments, and clicks.

By tracking these metrics, marketers can evaluate the effectiveness of a campaign and make adjustments to improve its performance.","Response: A metric that can be used to measure the performance of a new marketing campaign is the number of leads generated, which is a measure of the number of people who take action (e.g. opting into the email list or signing up for a product trial). This metric will help to quantify the success of the marketing campaign in terms of the desired outcome."
Instruction: Generate a list of book titles for a fantasy novel. ,"Response: Here are some possible book titles for a fantasy novel:

- The Crown of Shadows

- The Dragon's Eye

- The Lost Mage

- The Sword of Fire

- The Dreamwalker","Response: Titles for a fantasy novel could include \""The Magic of Galerion\"", \""Quest for the Sword of Olympus\"", \""The Land Across the Mountains\"", \""Curse of the wraith King\"", \""Treasures of the Elven Isles\"", \""The Secrets of the Silver Tower\"", \""Legends of the Prismatic Isles\"", \""The Battle of the Ancient Gates\"", \""Chronicles of the Faery Path\"", \""The Dragons of the Forsaken Lands\"", and \""Wizards of the Everlasting Shadow\""."
"Instruction: Given the following sentence, identify the subject and the verb. Input: He is writing a letter. ","Response: Here is the subject and verb in the given sentence:

- Subject: He

- Verb: writing",Response: Subject: He \nVerb: is writing
Instruction: Name one chemical that is both an acid and a base. ,"Response: Water (H2O) is an example of a chemical that can act as both an acid and a base. In the presence of a stronger acid, it can act as a base by accepting a proton (H+), forming the hydronium ion (H3O+). In the presence of a stronger base, it can act as an acid by donating a proton, forming the hydroxide ion (OH-).",Response: One chemical that is both an acid and a base is sodium hydroxide.
Instruction: Tell me an adjective to describe a river ,"Response: An adjective to describe a river is a word that modifies or gives more information about the noun river. Here are some common adjectives to describe a river: wide, deep, shallow, clear, long, short, straight.",Response: Torrential.
Instruction: Write a 6 word sentence describing a hot summer day. ,Response: Hot summer made everyone crave winter.,"Response: Lazy, hazy days of summer."
"Instruction: Given a chemical formula, determine what the average mass per atom is. Input: C2H2 ","Response: To determine the average mass per atom of a chemical formula, we need to know the atomic mass of each element and the number of atoms of each element in the formula.
The atomic mass of carbon is 12 g and the atomic mass of hydrogen is 1 g. The chemical formula C2H2 has two atoms of carbon and two atoms of hydrogen. Therefore, the average mass per atom for C2H2 = Total mass of all atoms/ Total number of atoms = (12 g x 2 + 1 g x 2)/(2 + 2) = 6.5 g.",Response: 13.018 atomic mass units/atom
Instruction: Write a brief biography of Marie Curie. ,"Response: Marie Curie was a Polish-born French physicist and chemist who is known for her pioneering research in radioactivity, radium and polonium. She became the first woman Nobel Prize winner in physics and the first woman to become a professor at the Sorbonne. In addition to her scientific accomplishments, she founded the Curie Institute, a pioneering research center in radiation treatment, which she ran until her death in 1934. She is widely recognized as one of the most influential scientists of all time.","Response: Marie Curie was a Polish-born French physicist and chemist who is known for her pioneering research in radioactivity. She discovered two new elements, radium and polonium, and became the first Nobel Prize winner in physics and the first female professor at the University of Paris. In addition to her scientific accomplishments, she founded the Curie Institute, a pioneering research center in radiation treatment, which she ran until her death in 1934. She is widely recognized as one of the most influential scientists of all time."
Instruction: Identify the two main characters in the given passage. Input: John and Lisa were walking through the park on a sunny day. They stopped to admire the flowers in the garden and talked about their plans for the future. ,Response: The two main characters in the given passage are John and Lisa,Response: John and Lisa
Instruction: Discuss the benefits of healthy eating. ,"Response: Balanced eating has numerous benefits for both physical and mental health. Keeping to a diversified, nutritious diet can help to maintain a healthy weight, reduce the risk of chronic diseases such as diabetes and heart disease, provide essential vitamins and minerals, improve mental wellbeing, and provide sustained energy throughout the day. A wholesome diet can also help improve the quality of sleep, boost the immune system, control blood pressure, and reduce the risk of certain types of cancer.","Response: Eating healthy has numerous benefits for both physical and mental health. Eating a balanced diet with a variety of fresh and nutritious foods can help to maintain a healthy weight, reduce the risk of chronic diseases such as diabetes and heart disease, provide essential vitamins and minerals, improve mental wellbeing, and provide sustained energy throughout the day. Eating a healthy diet can also help to improve the quality of sleep, boost the immune system, control blood pressure, and reduce the risk of certain types of cancer."
Instruction: Creative and clever titles for an essay exploring the power of hope ,"Response: Here are some creative and clever essay titles that explore the power of hope:

""The Power of Hope: A Beacon in the Darkness""
""The Strength of the Hopeful: How Hope Gives Us the Power to Persevere""
""The Power of Hope: A Force Stronger Than Fear""

I hope these titles help you get started on your essay!",Response: The Strength of the Hopeful: How Hope Gives Us the Power to Persevere.
Instruction: Write a haiku poem with specific context Input: Climbing a mountain ,"Response: Here is a haiku poem on climbing a mountain:
Scaling the mountain
Breathless and overpowered
Nature’s grandeur shines.","Response: Higher and higher I go,\nAdventures await up above\nEndless possibilities."
Instruction: Compose a tagline for a mobile game about cooking. ,Response: Unleash your inner chef and create amazing dishes from around the world!,Response: Make Delicious Dishes - Cook up Fun with Our Mobile Game!
Instruction: Design a flyer for an upcoming event. ,"Response: To design a flyer for an upcoming event, you need to consider the following steps:

1. Define the purpose and audience of your flyer. What is the event about and who are you trying to attract? This will help you choose the right tone, message, and style for your flyer.

2. Choose a flyer template or create your own layout. You can use online tools like Canva, Fotor, or Adobe Express that offer different flyer templates, layouts, colors, styles, and themes. You can also personalize your flyer by changing the text, overlays, fonts, and colors, and uploading your own images, logos, and icons.

3. Write catchy and clear content. Your flyer should have a catchy headline that grabs attention and summarizes the main benefit or value proposition of your event. You should also include relevant details such as the date, time, location, cost, contact information, and a call to action. Keep your content concise and easy to read, and use bullet points or icons to highlight key points.

4. Add compelling visuals. You need eye-catching images or graphics to make your flyer stand out and convey the mood and theme of your event. Make sure your visuals are high-quality, relevant, and aligned with your brand identity.

5. Print or share your flyer. Once you're happy with your flyer design, you can download it as a PDF or JPG file and print it on high-quality paper or cardstock. You can also email it or publish it directly on social media platforms like Facebook, Instagram, or Twitter. Make sure to distribute your flyer well in advance of your event and target the right places and people for maximum exposure.","Response: Come and join us on [date] for an exciting event! [Event description] We will have food, drinks, and music, as well as a variety of activities and games for everyone to enjoy. Whether you\u2019re a first-time participant or a veteran, this event will have something for everyone. Make sure to come and bring your friends. See you there!"
Instruction: Rearrange this sentence so it has subject-verb-object order. Input: The proposal was written by the group. ,Response: The group wrote the proposal.,Response: The proposal was written by the group.
Instruction: Write a 300-word story in third person narration about a protagonist who has to make an important career decision. ,"Response: Emma had two job offers from her dream companies: a major newspaper and a popular magazine. Both were prestigious and exciting, but also very different.

The newspaper wanted her to be a reporter in their international section. She would cover news and events from around the world, flying to any hotspot or crisis at a moment's notice. It would be fast-paced, challenging, and risky.

The magazine wanted her to be a writer and photographer in their travel section. She would document cultures and landscapes from around the world, immersing herself in remote and exotic locations. It would be slow-paced, adventurous, and rewarding.

She had to decide which job suited her better, which one matched her goals and values, which one made her happy. She had to weigh the pros and cons of each offer, and consider the impact on her personal and professional life.

She picked up each envelope and opened it. She read the letters carefully, noting every detail and condition. She put them back on her desk and sighed. She wished she could take both jobs, but she knew that was impossible. She had to choose one.

She closed her eyes and thought about her options. She imagined herself working for each company, living in each city, traveling to each destination. She felt a mix of emotions: excitement, anxiety, curiosity, fear.

She opened her eyes and reached for one of the envelopes. She picked it up and held it in her hand. She felt a surge of confidence and clarity. She knew what she wanted.

She smiled and picked up her phone. She dialed the number of the company that she had chosen. She waited for someone to answer.

""Hello,"" she said. ""This is Emma Jones. I'm calling to accept your offer.""","Response: John was at a crossroads in his life. He had just graduated college and was now facing the big decision of what career to pursue. After much deliberation, he decided that he wanted to be an accountant and help the financially disadvantaged. He had always been good with numbers and enjoyed seeing the tangible results of his work. \n\nJohn enrolled in accounting courses and initially found it quite challenging. He had to learn multiple systems and regulations quickly, but he worked hard and eventually excelled in his studies. After a few years, John started working at an accounting firm in his city. He was eager to put his knowledge of taxes and accounting to use in a real-world setting.\n\nJohn loved his job, as it let him express his creativity in finding strategies to save his clients money. After a few years at the firm, he became a senior accountant and was asked to manage bigger and more challenging cases. He was now a respected figure in the financial industry, but he still remembers when he was just a recent college graduate, unsure of the direction in which his life would take him."
"Instruction: Compare and contrast two poems on the same topic. Input: The two poems are ""Trees"" by Joyce Kilmer and ""Trees"" by Philip Larkin. ","Response: Both poems, ""Trees"" by Joyce Kilmer and ""Trees"" by Philip Larkin, explore the beauty of nature through poetry. However, the two poems approach the same topic from different perspectives.

In ""Trees"" by Joyce Kilmer, the speaker uses a romantic lens to appreciate the beauty of trees, comparing them to maidens and praising their grandiosity with adjectives like ""swaying"", ""gentle"", and ""murmuring"".

On the other hand, ""Trees"" by Philip Larkin treats nature with a more realistic eye. He describes the environment as ""distant"", ""weary"", and ""empty"", and implies that mankind has damaged the beauty of nature. Moreover, the poem has a more cynical tone, suggesting that humans are privileged to have trees yet do not appreciate their presence.","Response: Both poems, \""Trees\"" by Joyce Kilmer and \""Trees\"" by Philip Larkin, explore the beauty of nature through poetry. However, the two poems approach the same topic from different perspectives. \n\nIn \""Trees\"" by Joyce Kilmer, the speaker uses a romantic lens to appreciate the beauty of trees, comparing them to maidens and praising their grandiosity with adjectives like \""swaying,\"" \""gentle,\"" and \""murmuring.\"" On the other hand, \""Trees\"" by Philip Larkin treats nature with a more realistic eye. He describes the environment as \""distant,\"" \""weary,\"" and \""empty,\"" and implies that mankind has damaged the beauty of nature. Moreover, the poem has a more cynical tone, suggesting that humans are privileged to have trees yet do not appreciate their presence."
Instruction: Describe the process of creating a website from scratch. ,"Response: Before creating a website from scratch, you need to choose the right hosting platform. This is where your website will be stored and accessed by visitors. Next, you need to design and plan out your website. This involves deciding on the purpose of the website, the target audience, the design style, and the structure. Then, you need to build your website. This includes writing the code, creating the graphics and design elements, and adding the content. Finally, you need to test and launch your website. This includes verifying all of the links, testing the website on different platforms, and marketing the website to the target audience.","Response: Creating a website from scratch involves a number of steps. First, the website should be designed and planned out. This involves deciding on the purpose of the website, the target audience, the design style, and the structure. Next, the website needs to be built. This includes writing the code, choosing the right hosting platform, and creating the graphics and design elements. Finally, the website should be tested and launched. This includes verifying all of the links, testing the website on different platforms, and marketing the website to the target audience."
Instruction: Name 5 tips to write concise emails. ,"Response: Here are five tips to write concise emails:

- Keep sentences short and to the point. Aim for 10-20 words per sentence. 

- Think before you write: consider the purpose of the email, the key message, and the desired outcome. 

- Be specific and provide clear instructions.

- Stick to one topic per email.

- Avoid using jargon and unnecessary language.","Response: 1. Keep sentences short and to the point. Aim for 10-20 words per sentence. \n2. Think before you write: consider the purpose of the email, the key message, and the desired outcome. \n3. Be specific and provide clear instructions.\n4. Stick to one topic per email.\n5. Avoid using jargon and unnecessary language."
Instruction: Describe the different stages in the software development lifecycle. ,"Response: The software development lifecycle consists of the following stages: planning, requirements gathering and analysis, design, implementation and testing, deployment, and maintenance. The planning phase begins with an analysis of the business case, user needs and budget allocation. The requirements gathering and analysis phase is where the goals and requirements of the project are identified. The design phase is where the software is designed based on the requirements of the project. The implementation and testing phase involves the programming of the software, unit and system-level testing, and the integration of various components. The deployment phase involves the installation and setup of the software. Finally, maintenance. This is the phase where you provide ongoing support and updates for your software solution.","Response: The software development lifecycle consists of five stages: planning, requirements gathering and analysis, design, implementation and testing, and deployment. The planning phase begins with an analysis of the business case, user needs and budget allocation. The requirements gathering and analysis phase is where the goals and requirements of the project are identified. The design phase is where the software is designed based on the requirements of the project. The implementation and testing phase involves the programming of the software, unit and system-level testing, and the integration of various components. The final phase, deployment, involves the installation and setup of the software."
Instruction: Answer a quiz question Input: Who painted The Starry Night? ,"Response: The answer is Vincent van Gogh. He painted ""The Starry Night"" in June 1889, when he was staying at an asylum in Saint-Rémy-de-Provence, France. It is one of his most famous and celebrated works.","Response: Vincent van Gogh painted \""The Starry Night\""."
Instruction: Which continent includes the countries Pakistan and Sri Lanka? ,"Response: The continent that includes the countries Pakistan and Sri Lanka is **Asia**.

Pakistan is situated in South Asia and Sri Lanka is an island country lying in the Indian Ocean.",Response: Asia
Instruction: Create a culinary recipe for a dinner item. Input: Dish: Egg Roll ,"Response: Ingredients: 

- 2 cups shredded cabbage

- 1 cup shredded carrot

- 2 cloves garlic, minced

- 4 scallions, chopped

- 1/4 teaspoon ground ginger

- 2 tablespoons soy sauce

- 1 teaspoon sesame oil

- 1/2 pound ground pork

- 6 egg roll wrappers

- 2 tablespoons vegetable oil

Instructions:

1. Heat vegetable oil in a large skillet over medium heat. Add garlic, scallions, and ginger and cook until fragrant, about 1 minute.

2. Add pork, cabbage, and carrot. Cook until pork is browned, about 5 minutes.

3. Add soy sauce and sesame oil. Cook for an additional 2 minutes.

4. Place a heaping tablespoon of the filling onto each egg roll wrapper. Roll up and seal edges with a bit of water.

5. Heat vegetable oil in a deep skillet over medium-high heat. Fry egg rolls in batches until golden brown, about 2 minutes per side.

6. Serve egg rolls warm with your favorite dipping sauce. Enjoy!","Response: Ingredients: \n- 2 cups shredded cabbage\n- 1 cup shredded carrot\n- 2 cloves garlic, minced\n- 4 scallions, chopped\n- 1/4 teaspoon ground ginger\n- 2 tablespoons soy sauce\n- 1 teaspoon sesame oil\n- 1/2 pound ground pork\n- 6 egg roll wrappers\n- 2 tablespoons vegetable oil\n\nInstructions:\n1. Heat vegetable oil in a large skillet over medium heat. Add garlic, scallions, and ginger and cook until fragrant, about 1 minute.\n2. Add pork, cabbage, and carrot. Cook until pork is browned, about 5 minutes.\n3. Add soy sauce and sesame oil. Cook for an additional 2 minutes.\n4. Place a heaping tablespoon of the filling onto each egg roll wrapper. Roll up and seal edges with a bit of water.\n5. Heat vegetable oil in a deep skillet over medium-high heat. Fry egg rolls in batches until golden brown, about 2 minutes per side.\n6. Serve egg rolls warm with your favorite dipping sauce. Enjoy!"
Instruction: Write a short story on what you would do if you had superpowers. ,"Response: Here is a short story I wrote based on your request:

""If I had superpowers, I would use them to help those in need. I would start by flying around the world and visiting some of the worst affected places in the world, like war zones and famine-affected areas. I would use my powers to protect innocent victims of war, poverty, and disease. I would also try my best to bridge the gap between all nations, cultures, and beliefs. 

Besides helping people, I would work to make the world a better place for future generations. I could use my powers to clean up the environment, reduce poverty, and create a world that is more equal, safer, and more just. 

I know I would never be able to do all of this, but with superpowers, I could at least help make the world a better place.""","Response: If I had superpowers, I would use them to help those in need. I would start by flying around the world and visiting some of the worst affected places in the world, like war zones and famine-affected areas. I would use my powers to protect innocent victims of war, poverty, and disease. I would also try my best to bridge the gap between all nations, cultures, and beliefs. \nBesides helping people, I would work to make the world a better place for future generations. I could use my powers to clean up the environment, reduce poverty, and create a world that is more equal, safer, and more just. I know I would never be able to do all of this, but with superpowers, I could at least help make the world a better place."
Instruction: Suggest a good screen capture tool for Mac. ,"Response: One popular screen capture tool for Mac is Snagit. Snagit allows you to capture high-quality screenshots and create professional-looking tutorials, guides, and other types of content. It includes a variety of features, such as the ability to capture rectangular or freehand selections, add annotations and arrows, and blur sensitive information. Snagit also allows you to save your screenshots in a variety of formats, including JPEG, PNG, and PDF, and share them easily via email, social media, or cloud storage. Additionally, Snagit offers a variety of templates and customization options to help you create professional-looking content quickly and easily.","Response: One of the best screen capture tools for Mac is Skitch. It is easy to use, and has powerful features such as annotations, markup tools, and cloud storage for easy sharing. It also allows for timed screenshots and has a built-in screenshot editor. In addition, you can save screenshots as an image or video file in various formats."
Instruction: Generate a short story about a scientist in a lab. ,"Response: Dr. Lee was working late in his lab, trying to find a cure for a deadly virus that was spreading across the world. He had been testing various compounds on infected cells, hoping to find one that could stop the virus from replicating. He was about to give up for the night when he noticed something unusual on his microscope.

One of the cells he had treated with a new compound was glowing green. He zoomed in and saw that the cell was not only alive, but also healthy and normal. The virus particles inside it had disappeared. He couldn't believe his eyes. He had found it. He had found the cure.

He quickly ran some tests to confirm his discovery. He checked the compound's structure, its toxicity, its stability, and its effectiveness on other samples. Everything looked promising. He felt a surge of excitement and joy. He wanted to share his breakthrough with the world.
He picked up his phone and called his colleague, Dr. Kim, who was also working on the same project. He told her the good news and asked her to come to his lab as soon as possible. He wanted to show her his results and plan the next steps.

He hung up and looked at his glowing cell again. He smiled and whispered, ""Thank you. You just saved millions of lives.""

He didn't notice the small crack on the glass slide that held the cell. He didn't notice the tiny drop of liquid that seeped out of the crack and dripped onto the floor. He didn't notice the green glow that started to spread across the lab.","Response: Dr. John was a scientist working in his lab, surrounded by beakers and test tubes bubbling with mysterious liquids. He had been working on a new project, hoping to create a revolutionary new drug that would cure various diseases. He had spent months testing different combinations of ingredients, and finally he had hit upon the perfect formula. As the potion bubbled in the test tube, his excitement was palpable. He barely slept that night, eagerly anticipating the results of his experiment. The next day, sure enough, his concoction had succeeded in creating the drug he had been trying for! He had finally achieved a truly remarkable accomplishment."
"Instruction: Find the most common noun in this passage. Input: Design thinking is a human-centered approach to innovation that draws from the designer's toolkit to integrate the needs of people, the possibilities of technology, and the requirements for success. ","Response: The most common noun is ""approach"".",Response: approach
Instruction: Identify and correct the subject verb agreement error in the sentence. Input: The box of tools are in the garage. ,"Response: The subject-verb agreement error in the sentence is that the subject ""box of tools"" is a singular noun phrase, but the verb ""are"" is plural.

To correct this error, we need to use a singular verb to agree with the singular subject ""box of tools"". So, the corrected sentence would be:

The box of tools **is** in the garage.",Response: The box of tools is in the garage.
Instruction: Identify the adverb in the sentence. Output the adverb directly. Input: He quickly ran away. ,"Response: The adverb in the given sentence is ""quickly"".",Response: Quickly
Instruction: Give me a synonym for the word 'love'. ,"Response: ""Adore"", ""Dote"", ""Fond"", ""Dedicate"", ""Devotion"", ""Affection"", ""Care"", ""Zeal"", ""Passion"" are some of the synonyms for the word ""love"".",Response: Affection.
